iter	Passed	Remaining
607	5502	220760
608	5511	220737
609	5520	220718
610	5529	220735
611	5539	220734
612	5548	220746
613	5557	220720
614	5566	220715
615	5575	220705
616	5584	220688
617	5593	220682
618	5602	220667
619	5610	220637
620	5619	220616
621	5629	220623
622	5638	220636
623	5648	220641
624	5657	220634
625	5666	220627
626	5675	220639
627	5686	220686
628	5695	220667
629	5704	220671
630	5714	220683
631	5723	220686
632	5732	220669
633	5741	220667
634	5750	220662
635	5759	220635
636	5768	220623
637	5778	220642
638	5787	220644
639	5796	220627
640	5805	220606
641	5814	220616
642	5823	220594
643	5832	220577
644	5841	220564
645	5850	220562
646	5859	220539
647	5867	220516
648	5876	220497
649	5886	220500
650	5895	220492
651	5904	220476
652	5912	220460
653	5921	220451
654	5931	220457
655	5940	220453
656	5949	220455
657	5959	220479
658	5969	220488
659	5978	220481
660	5987	220484
661	5997	220475
662	6006	220490
663	6015	220466
664	6025	220485
665	6035	220507
666	6049	220686
667	6062	220809
668	6072	220844
669	6080	220806
670	6090	220821
671	6099	220822
672	6108	220816
673	6118	220822
674	6127	220824
675	6137	220835
676	6147	220868
677	6158	220929
678	6167	220929
679	6176	220906
680	6186	220906
681	6195	220901
682	6204	220908
683	6213	220892
684	6222	220893
685	6232	220882
686	6241	220874
687	6250	220858
688	6259	220856
689	6268	220849
690	6277	220843
691	6286	220840
692	6296	220853
693	6305	220852
694	6314	220821
695	6323	220818
696	6333	220835
697	6342	220811
698	6351	220812
699	6361	220832
700	6370	220821
701	6376	220702
702	6385	220695
703	6393	220664
704	6403	220674
705	6412	220646
706	6421	220648
707	6427	220536
708	6436	220527
709	6445	220495
710	6454	220506
711	6463	220500
712	6472	220488
713	6482	220504
714	6490	220452
715	6496	220327
716	6505	220312
717	6513	220290
718	6522	220268
719	6531	220273
720	6540	220258
721	6550	220258
722	6559	220244
723	6568	220245
724	6577	220246
725	6586	220237
726	6595	220217
727	6605	220224
728	6614	220211
729	6623	220212
730	6633	220220
731	6642	220222
732	6651	220209
733	6660	220203
734	6672	220285
735	6681	220270
736	6690	220267
737	6700	220267
738	6709	220259
739	6718	220248
740	6727	220231
741	6736	220231
742	6744	220206
743	6754	220209
744	6763	220190
745	6771	220168
746	6782	220199
747	6792	220228
748	6801	220227
749	6812	220260
750	6822	220287
751	6831	220283
752	6840	220282
753	6849	220258
754	6859	220260
755	6868	220248
756	6877	220260
757	6886	220243
758	6896	220260
759	6905	220252
760	6912	220161
761	6921	220155
762	6930	220146
763	6939	220142
764	6948	220135
765	6957	220117
766	6967	220124
767	6975	220100
768	6984	220083
769	6992	220026
770	7002	220052
771	7011	220046
772	7020	220037
773	7030	220044
774	7036	219949
775	7045	219949
776	7054	219918
777	7063	219915
778	7072	219908
779	7081	219893
780	7090	219870
781	7099	219872
782	7109	219875
783	7118	219864
784	7127	219872
785	7137	219892
786	7151	220017
787	7160	220006
788	7169	219990
789	7178	219977
790	7186	219946
791	7195	219944
792	7204	219929
793	7213	219909
794	7222	219895
795	7231	219875
796	7240	219868
797	7249	219863
798	7259	219868
799	7267	219854
800	7276	219836
801	7285	219814
802	7293	219783
803	7303	219781
804	7311	219756
805	7320	219749
806	7329	219742
807	7338	219730
808	7348	219727
809	7356	219701
810	7365	219685
811	7374	219675
812	7383	219661
813	7393	219677
814	7402	219675
815	7412	219678
816	7421	219682
817	7429	219646
818	7439	219657
819	7449	219662
820	7458	219667
821	7468	219663
822	7477	219661
823	7486	219654
824	7495	219642
825	7504	219633
826	7510	219524
827	7519	219510
828	7528	219510
829	7537	219508
830	7547	219522
831	7556	219506
832	7565	219504
833	7575	219497
834	7583	219478
835	7592	219466
836	7601	219443
837	7610	219439
838	7620	219440
839	7629	219433
840	7638	219433
841	7647	219407
842	7657	219422
843	7669	219500
844	7679	219529
845	7688	219521
846	7695	219452
847	7705	219459
848	7714	219442
849	7723	219447
850	7733	219445
851	7742	219440
852	7751	219435
853	7760	219427
854	7770	219424
855	7779	219413
856	7788	219417
857	7797	219396
858	7807	219410
859	7816	219420
860	7825	219406
861	7834	219386
862	7843	219375
863	7852	219356
864	7861	219352
865	7871	219357
866	7880	219346
867	7889	219332
868	7898	219324
869	7906	219304
870	7915	219291
871	7921	219195
872	7931	219199
873	7937	219094
874	7946	219093
875	7955	219073
876	7963	219054
877	7973	219055
878	7982	219059
879	7992	219057
880	8003	219104
881	8012	219096
882	8021	219076
883	8030	219084
884	8040	219078
885	8048	219061
886	8057	219050
887	8066	219041
888	8076	219045
889	8085	219045
890	8094	219028
891	8104	219028
892	8113	219022
893	8122	219008
894	8134	219091
895	8144	219094
896	8153	219098
897	8162	219087
898	8172	219086
899	8181	219072
900	8190	219057
901	8199	219053
902	8208	219039
903	8217	219033
904	8226	219029
905	8235	219018
906	8244	219009
907	8253	218998
908	8263	218994
909	8272	218987
910	8281	218977
911	8290	218971
912	8299	218961
913	8308	218941
914	8317	218943
915	8326	218920
916	8336	218928
917	8345	218928
918	8354	218917
919	8364	218924
920	8373	218911
921	8383	218939
922	8392	218933
923	8401	218918
924	8411	218922
925	8420	218920
926	8429	218903
927	8438	218899
928	8447	218889
929	8456	218876
930	8462	218788
931	8471	218768
932	8480	218752
933	8489	218742
934	8498	218727
935	8507	218710
936	8515	218686
937	8525	218687
938	8534	218677
939	8543	218666
940	8552	218665
941	8561	218642
942	8570	218633
943	8579	218619
944	8588	218620
945	8598	218629
946	8607	218626
947	8616	218620
948	8626	218614
949	8634	218599
950	8644	218591
951	8659	218748
952	8668	218731
953	8678	218739
954	8687	218739
955	8696	218731
956	8705	218721
957	8715	218722
958	8724	218712
959	8733	218707
960	8742	218693
961	8751	218686
962	8761	218683
963	8769	218659
964	8780	218688
965	8789	218685
966	8799	218703
967	8809	218709
968	8818	218702
969	8827	218692
970	8836	218676
971	8845	218668
972	8855	218673
973	8864	218666
974	8873	218655
975	8882	218647
976	8892	218643
977	8901	218633
978	8910	218624
979	8919	218616
980	8928	218612
981	8937	218593
982	8946	218595
983	8956	218589
984	8965	218574
985	8974	218570
986	8983	218554
987	8992	218544
988	9001	218536
989	9010	218519
990	9018	218502
991	9028	218494
992	9037	218490
993	9047	218493
994	9056	218487
995	9065	218488
996	9074	218465
997	9083	218449
998	9092	218442
999	9102	218448
1000	9111	218451
1001	9121	218455
1002	9130	218445
1003	9139	218434
1004	9148	218426
1005	9157	218415
1006	9166	218401
1007	9175	218389
1008	9184	218391
1009	9194	218393
1010	9203	218388
1011	9213	218398
1012	9223	218402
1013	9231	218376
1014	9241	218370
1015	9250	218366
1016	9259	218356
1017	9266	218289
1018	9275	218280
1019	9283	218259
1020	9292	218252
1021	9302	218259
1022	9315	218328
1023	9327	218399
1024	9342	218513
1025	9352	218529
1026	9361	218531
1027	9371	218535
1028	9380	218511
1029	9389	218501
1030	9397	218480
1031	9406	218471
1032	9415	218454
1033	9424	218447
1034	9433	218433
1035	9443	218429
1036	9451	218416
1037	9461	218411
1038	9469	218391
1039	9478	218371
1040	9487	218362
1041	9496	218348
1042	9505	218334
1043	9514	218321
1044	9523	218316
1045	9533	218313
1046	9541	218297
1047	9551	218288
1048	9559	218271
1049	9569	218269
1050	9578	218260
1051	9587	218246
1052	9596	218239
1053	9606	218241
1054	9614	218227
1055	9624	218222
1056	9633	218212
1057	9645	218271
1058	9656	218303
1059	9665	218297
1060	9674	218292
1061	9684	218287
1062	9692	218266
1063	9702	218263
1064	9711	218263
1065	9720	218253
1066	9729	218244
1067	9739	218236
1068	9748	218228
1069	9758	218234
1070	9767	218234
1071	9777	218231
1072	9785	218219
1073	9794	218206
1074	9803	218191
1075	9814	218207
1076	9824	218233
1077	9833	218217
1078	9843	218234
1079	9852	218221
1080	9862	218219
1081	9871	218207
1082	9880	218203
1083	9890	218206
1084	9899	218201
1085	9908	218178
1086	9916	218163
1087	9925	218152
1088	9935	218148
1089	9944	218144
1090	9953	218137
1091	9963	218140
1092	9973	218158
1093	9985	218199
1094	9994	218181
1095	10003	218176
1096	10012	218176
1097	10021	218158
1098	10030	218145
1099	10039	218139
1100	10049	218141
1101	10058	218138
1102	10067	218122
1103	10077	218127
1104	10086	218115
1105	10095	218103
1106	10104	218091
1107	10114	218090
1108	10122	218070
1109	10134	218122
1110	10143	218112
1111	10153	218108
1112	10161	218091
1113	10171	218086
1114	10180	218076
1115	10189	218080
1116	10198	218068
1117	10207	218056
1118	10217	218045
1119	10226	218037
1120	10235	218031
1121	10244	218025
1122	10253	218011
1123	10263	218016
1124	10272	218009
1125	10281	217999
1126	10290	217987
1127	10300	217990
1128	10309	217982
1129	10318	217975
1130	10328	217976
1131	10337	217959
1132	10342	217877
1133	10352	217876
1134	10362	217875
1135	10370	217860
1136	10380	217855
1137	10389	217857
1138	10399	217856
1139	10408	217840
1140	10416	217823
1141	10425	217809
1142	10435	217802
1143	10444	217790
1144	10453	217787
1145	10462	217773
1146	10471	217770
1147	10481	217770
1148	10490	217765
1149	10500	217760
1150	10507	217718
1151	10516	217704
1152	10525	217703
1153	10534	217686
1154	10543	217670
1155	10552	217659
1156	10562	217668
1157	10572	217675
1158	10581	217670
1159	10590	217659
1160	10600	217656
1161	10609	217651
1162	10618	217642
1163	10625	217577
1164	10636	217607
1165	10646	217617
1166	10656	217629
1167	10665	217611
1168	10673	217596
1169	10682	217581
1170	10692	217582
1171	10701	217574
1172	10710	217566
1173	10720	217563
1174	10728	217545
1175	10738	217542
1176	10747	217532
1177	10756	217529
1178	10766	217528
1179	10775	217513
1180	10784	217509
1181	10795	217540
1182	10804	217533
1183	10814	217529
1184	10822	217508
1185	10830	217467
1186	10839	217464
1187	10849	217467
1188	10859	217472
1189	10871	217521
1190	10881	217529
1191	10890	217522
1192	10899	217503
1193	10906	217445
1194	10915	217434
1195	10924	217434
1196	10934	217432
1197	10943	217424
1198	10952	217414
1199	10962	217419
1200	10975	217498
1201	10984	217482
1202	10993	217475
1203	11003	217469
1204	11012	217464
1205	11021	217454
1206	11030	217442
1207	11039	217429
1208	11048	217422
1209	11058	217424
1210	11067	217418
1211	11077	217411
1212	11085	217396
1213	11094	217384
1214	11104	217374
1215	11113	217362
1216	11121	217347
1217	11130	217326
1218	11139	217323
1219	11149	217318
1220	11158	217319
1221	11168	217315
1222	11177	217305
1223	11187	217310
1224	11196	217298
1225	11205	217287
1226	11214	217282
1227	11223	217267
1228	11233	217275
1229	11242	217264
1230	11251	217250
1231	11260	217232
1232	11269	217221
1233	11278	217208
1234	11287	217198
1235	11296	217191
1236	11305	217184
1237	11315	217187
1238	11324	217175
1239	11333	217167
1240	11342	217161
1241	11351	217149
1242	11361	217145
1243	11370	217129
1244	11381	217153
1245	11391	217164
1246	11400	217153
1247	11409	217143
1248	11418	217132
1249	11427	217123
1250	11436	217104
1251	11445	217090
1252	11454	217083
1253	11463	217082
1254	11472	217070
1255	11481	217060
1256	11492	217068
1257	11501	217061
1258	11510	217047
1259	11519	217047
1260	11528	217031
1261	11537	217015
1262	11544	216963
1263	11551	216922
1264	11561	216933
1265	11570	216919
1266	11579	216907
1267	11589	216906
1268	11596	216862
1269	11606	216866
1270	11615	216855
1271	11628	216924
1272	11639	216951
1273	11648	216938
1274	11658	216942
1275	11668	216942
1276	11674	216887
1277	11684	216887
1278	11695	216907
1279	11704	216896
1280	11713	216879
1281	11722	216877
1282	11731	216860
1283	11740	216851
1284	11749	216842
1285	11759	216838
1286	11768	216828
1287	11777	216816
1288	11786	216815
1289	11795	216800
1290	11804	216787
1291	11813	216777
1292	11822	216761
1293	11832	216762
1294	11841	216765
1295	11850	216752
1296	11860	216749
1297	11869	216747
1298	11878	216735
1299	11887	216721
1300	11896	216704
1301	11905	216700
1302	11914	216685
1303	11923	216680
1304	11933	216668
1305	11942	216658
1306	11951	216656
1307	11960	216644
1308	11971	216669
1309	11980	216649
1310	11989	216644
1311	11998	216633
1312	12007	216623
1313	12016	216614
1314	12025	216599
1315	12034	216591
1316	12043	216579
1317	12052	216564
1318	12061	216552
1319	12070	216543
1320	12079	216526
1321	12088	216514
1322	12097	216510
1323	12110	216557
1324	12119	216555
1325	12128	216544
1326	12139	216553
1327	12148	216547
1328	12157	216535
1329	12166	216527
1330	12175	216517
1331	12184	216506
1332	12193	216491
1333	12203	216491
1334	12212	216480
1335	12221	216482
1336	12231	216483
1337	12240	216463
1338	12250	216471
1339	12259	216459
1340	12268	216449
1341	12277	216442
1342	12287	216440
1343	12296	216425
1344	12305	216423
1345	12314	216413
1346	12324	216408
1347	12335	216438
1348	12344	216426
1349	12353	216421
1350	12363	216415
1351	12372	216413
1352	12381	216403
1353	12391	216395
1354	12400	216385
1355	12409	216382
1356	12419	216380
1357	12427	216362
1358	12437	216361
1359	12446	216349
1360	12456	216348
1361	12465	216338
